/Users/mkanaka/Documents/GitHub/Beyond-Components/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:With reduced precision, it is advised to use `from_pretrained_no_processing` instead of `from_pretrained`.
Running 108 specs across GPT-2 small
  layers: [9, 10, 11], heads: 0-11, dim pairs: [(0, 1), (1, 2), (2, 7)]
Loading gpt2-small...
Loaded pretrained model gpt2-small into HookedTransformer
  Model loaded: 12L, 12H, d=768
  Target: L10 H2, SVD dims (2, 7), resid L10, T=99.0
  Sanity checks...
  Sanity OK  (activation shape (1, 4, 768))

=== DECODE COHERENCE SWEEP (all heads, all layers) ===

===========================================================================
DECODE COHERENCE SWEEP (36 angles, top_k=50)
===========================================================================
  head                  mean_top1  mean_margin    mean_ent     min_ent
  L10H10(2,7)               9.510        1.751       3.291       2.217
  L10H11(0,1)               3.259        0.494       3.883       3.850
  L10H11(1,2)               4.418        0.878       3.795       3.450
  L10H11(2,7)               4.407        0.858       3.783       3.449
  L11H0(0,1)                3.630        0.909       3.814       3.622
  L11H0(1,2)                6.218        1.373       3.625       3.267
  L11H0(2,7)                8.059        2.148       3.233       1.593
  L11H1(0,1)                8.952        1.719       3.398       2.056
  L11H1(1,2)               12.846        2.589       2.748       1.281
  L11H1(2,7)               12.793        2.877       2.592       0.795
  L11H2(0,1)               16.979        3.401       2.329       0.417
  L11H2(1,2)               17.792        3.958       1.904       0.530
  L11H2(2,7)               16.729        2.985       2.454       1.319
  L11H3(0,1)                9.359        1.465       3.584       3.011
  L11H3(1,2)               11.894        1.688       3.441       2.745
  L11H3(2,7)               11.869        1.914       3.339       2.365
  L11H4(0,1)                3.538        0.674       3.863       3.753
  L11H4(1,2)                6.878        1.078       3.759       3.599
  L11H4(2,7)                9.505        2.550       3.027       0.967
  L11H5(0,1)                6.799        1.519       3.576       2.840
  L11H5(1,2)                9.338        2.436       3.161       2.066
  L11H5(2,7)                8.843        1.675       3.453       2.066
  L11H6(0,1)               11.378        2.084       3.221       2.177
  L11H6(1,2)               11.733        2.300       3.093       1.949
  L11H6(2,7)               12.326        2.309       3.057       1.962
  L11H7(0,1)               12.517        3.652       2.216       0.157
  L11H7(1,2)               13.560        3.828       2.019       0.215
  L11H7(2,7)                9.000        1.961       3.185       1.645
  L11H8(0,1)               10.658        1.509       3.421       2.679
  L11H8(1,2)                4.136        0.415       3.891       3.830
  L11H8(2,7)                5.705        1.782       3.381       2.350
  L11H9(0,1)               10.241        2.741       2.827       0.200
  L11H9(1,2)               11.890        3.035       2.736       0.065
  L11H9(2,7)               10.803        2.047       3.373       2.617
  L11H10(0,1)               6.231        0.986       3.803       3.646
  L11H10(1,2)               7.037        0.892       3.798       3.719
  L11H10(2,7)               7.530        1.166       3.731       3.379
  L11H11(0,1)               6.571        1.801       3.480       1.948
  L11H11(1,2)               5.540        0.856       3.799       3.659
  L11H11(2,7)               7.474        1.198       3.715       3.551

  Lower entropy + higher margin = more focused decode at that angle.
  Random planes typically produce mean_entropy near log(50)=3.912.
