path	bucket	reason
experiments/circuit_analysis.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/circuit_synthesis.md	arithmetic	multi-model arithmetic circuit synthesis notes
experiments/compass_causal_sweep.py	compass	named in COMPASS_COOKBOOK.md
experiments/compass_dictionary.py	compass	named in COMPASS_COOKBOOK.md
experiments/compass_dictionary_single.py	compass	named in COMPASS_COOKBOOK.md
experiments/compass_scan.py	compass	named in COMPASS_COOKBOOK.md
experiments/cp_tensor_decomposition.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/crowspairs_eval.py	compass	named in COMPASS_COOKBOOK.md
experiments/crowspairs_routed_eval.py	compass	named in COMPASS_COOKBOOK.md
experiments/crt_sanity_check.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/debias_method_comparison.py	compass	named in COMPASS_COOKBOOK.md
experiments/diagnose_rotation_sign.py	arithmetic	docstring: Fourier phase-rotation sign diagnosis
experiments/diagnose_unembed_direct.py	arithmetic	docstring: direct-answer unembed patching diagnosis
experiments/eigenvector_dft.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/evaluation/comprehensive_metrics_table.py	compass	named in COMPASS_COOKBOOK.md
experiments/evaluation/generate_sigma_table.py	drop	Beyond Components sigma results table
experiments/fisher_patching.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/fisher_phase_shift.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/flip_ratio_by_domain.py	compass	docstring: per-domain flip ratio over spotcheck CSVs
experiments/fourier_decomposition.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/fourier_head_attribution.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/fourier_knockout.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/fourier_phase_rotation.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/fourier_umap.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/fourway_probe.py	compass	named in COMPASS_COOKBOOK.md
experiments/generalization_tests.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/generate_missing_plots.py	both	emits ablation_curves/neuron_frequency_tuning/layer_scan_curves for paper/; also listed in COMPASS_COOKBOOK.md
experiments/generate_paper_plots.py	both	emits layer_scan_curves/fourier_heatmap_cross_model/energy_explosion for paper/; also listed in COMPASS_COOKBOOK.md
experiments/head_ablation_comparison.py	compass	named in COMPASS_COOKBOOK.md
experiments/inlp_debias.py	compass	named in COMPASS_COOKBOOK.md
experiments/introspect_compass_scale.py	compass	named in COMPASS_COOKBOOK.md
experiments/l10h9_tests.py	compass	named in COMPASS_COOKBOOK.md
experiments/make_paper_figures.py	compass	named in COMPASS_COOKBOOK.md
experiments/mathematical_toolkit.py	arithmetic	docstring: toolkit for arithmetic circuit discovery
experiments/modular_arithmetic.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/multidigit_circuit.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/multilayer_freq_ablation.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/neuron_trig_analysis.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/phase_rotation_statistics.py	arithmetic	docstring: stats for Fourier phase rotation
experiments/phi3_arithmetic_scan_gemma_worked.py	arithmetic	arithmetic layer scan, gemma run
experiments/phi3_arithmetic_scan_phi3_worked.py	arithmetic	arithmetic layer scan, phi3 run
experiments/phi3_l28h1_tests.py	compass	named in COMPASS_COOKBOOK.md
experiments/pick_appendix_examples.py	compass	named in COMPASS_COOKBOOK.md
experiments/plot_eigenvector_dft.py	arithmetic	plots for eigenvector_dft.py (Step 2)
experiments/probe_steering_v2.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/qualitative_spotcheck.py	compass	named in COMPASS_COOKBOOK.md
experiments/run_calib_queue.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_fourier_discovery.py	arithmetic	docstring: Phase 1 Fourier discovery on arithmetic prompts
experiments/run_gemma_parity.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_llama_snr_sweep.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_llama_suite.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_multi_model_suite.py	arithmetic	docstring: multi-model mathematical-toolkit runner
experiments/run_phi3_snr_sweep.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_routed_queue.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_stereoset_queue.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_stereoset_queue_after_gemma.sh	compass	named in COMPASS_COOKBOOK.md
experiments/run_transfer_queue.sh	compass	named in COMPASS_COOKBOOK.md
experiments/scan_ci_summary.py	compass	named in COMPASS_COOKBOOK.md
experiments/second_harmonic_fit.py	compass	named in COMPASS_COOKBOOK.md
experiments/seed_variance_summary.py	compass	named in COMPASS_COOKBOOK.md
experiments/sentence_debias.py	compass	named in COMPASS_COOKBOOK.md
experiments/steering_demo.py	compass	named in COMPASS_COOKBOOK.md
experiments/steering_improvements.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/steering_residual_vector.py	arithmetic	residual steering on the arithmetic bus
experiments/stereoset_ensemble_eval.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_ensemble_eval_gemma.py	compass	per-model variant of stereoset_ensemble_eval.py
experiments/stereoset_ensemble_eval_llama.py	compass	per-model variant of stereoset_ensemble_eval.py
experiments/stereoset_ensemble_eval_phi3.py	compass	per-model variant of stereoset_ensemble_eval.py
experiments/stereoset_eval.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_extract.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_extract_gemma.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_extract_llama.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_extract_phi3.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_scan.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_scan_gemma.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_scan_llama.py	compass	named in COMPASS_COOKBOOK.md
experiments/stereoset_probe_scan_phi3.py	compass	named in COMPASS_COOKBOOK.md
experiments/storage_steering_scatter.py	compass	docstring: storage-vs-steering for the 5 compass heads
experiments/target_ss50_sweep.py	compass	named in COMPASS_COOKBOOK.md
experiments/train.py	both	shared Stage-1 trainer; named in ARITHMETIC_CIRCUIT_PLAN.md, used by compass Stage-1
experiments/truthfulqa_eval.py	compass	named in COMPASS_COOKBOOK.md
experiments/validate_unembed_fix.py	arithmetic	validates compute_unembed_basis_direct_answer
experiments/visualize_toolkit_results.py	arithmetic	plots for mathematical_toolkit.py
experiments/winogender_eval.py	compass	named in COMPASS_COOKBOOK.md
experiments/winogender_sweep.py	compass	named in COMPASS_COOKBOOK.md
fourier_results/fourier_results_pythia-1.4b_20260405_182700.json	arithmetic	Fourier discovery outputs
fourier_results/fourier_results_pythia-1.4b_20260405_185846.json	arithmetic	Fourier discovery outputs
fourier_results/plots/pythia-1.4b_freq_histogram.png	arithmetic	Fourier discovery outputs
fourier_results/plots/pythia-1.4b_head_grid.png	arithmetic	Fourier discovery outputs
fourier_results/plots/pythia-1.4b_power_ratio_line.png	arithmetic	Fourier discovery outputs
fourier_results/plots/pythia-1.4b_power_spectra.png	arithmetic	Fourier discovery outputs
helix_cross_model_analysis.md	arithmetic	cross-model helix analysis
helix_usage_validated/appendix_examples.csv	compass	compass experiment artifact
helix_usage_validated/appendix_examples.md	compass	compass experiment artifact
helix_usage_validated/baselines_gemma.txt	compass	compass experiment artifact
helix_usage_validated/baselines_gpt2.txt	compass	compass experiment artifact
helix_usage_validated/baselines_phi3.txt	compass	compass experiment artifact
helix_usage_validated/bootstrap_ci_summary.csv	compass	compass experiment artifact
helix_usage_validated/bootstrap_ci_summary.md	compass	compass experiment artifact
helix_usage_validated/compass_dict_all.md	compass	compass experiment artifact
helix_usage_validated/compass_dict_gemma.txt	compass	compass experiment artifact
helix_usage_validated/compass_dict_gpt2.txt	compass	compass experiment artifact
helix_usage_validated/compass_dict_llama32_3b.txt	compass	compass experiment artifact
helix_usage_validated/compass_dict_phi3.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_gemma.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_gemma.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_gpt2.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_gpt2.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gemma_gender_L21.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gemma_gender_L21.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gemma_race_L21.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gemma_race_L21.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gpt2_gender_L10.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gpt2_gender_L10.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gpt2_race_L10.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_gpt2_race_L10.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_llama_gender_L22.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_llama_gender_L22.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_llama_race_L22.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_llama_race_L22.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_phi3_gender_L24.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_phi3_gender_L24.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_phi3_race_L24.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_inlp_phi3_race_L24.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_llama.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_llama.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_phi3.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_phi3.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib_seed1.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib_seed1.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib_seed2.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib_seed2.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib_seed3.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gemma_calib_seed3.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gpt2.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gpt2.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gpt2_calib.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_gpt2_calib.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama_snr0.10.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama_snr0.10.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama_snr0.15.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama_snr0.15.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama_snr0.20.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_llama_snr0.20.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_calib_seed1.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_calib_seed1.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_calib_seed2.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_calib_seed2.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_calib_seed3.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_calib_seed3.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_snr0.07.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_snr0.07.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_snr0.08.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_snr0.08.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_snr0.10.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_routed_phi3_snr0.10.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gemma_gender_L21.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gemma_gender_L21.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gemma_race_L21.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gemma_race_L21.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gpt2_gender_L10.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gpt2_gender_L10.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gpt2_race_L10.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_gpt2_race_L10.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_llama_gender_L22.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_llama_gender_L22.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_llama_race_L22.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_llama_race_L22.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_phi3_gender_L24.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_phi3_gender_L24.txt	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_phi3_race_L24.csv	compass	compass experiment artifact
helix_usage_validated/crowspairs_sentdebias_phi3_race_L24.txt	compass	compass experiment artifact
helix_usage_validated/debias_method_comparison.csv	compass	compass experiment artifact
helix_usage_validated/debias_method_comparison.md	compass	compass experiment artifact
helix_usage_validated/exp1_exp2_output.txt	compass	compass experiment artifact
helix_usage_validated/exp2_corrected_output.txt	compass	compass experiment artifact
helix_usage_validated/exp2_snr_output.txt	compass	compass experiment artifact
helix_usage_validated/flip_ratio_by_domain.csv	compass	compass experiment artifact
helix_usage_validated/flip_ratio_by_domain.md	compass	compass experiment artifact
helix_usage_validated/gemma2b_ablation_output.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_causal_patch.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_compass_L21H4_output.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_compass_causal.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_compass_causal_curves.png	compass	compass experiment artifact
helix_usage_validated/gemma2b_compass_causal_linearity.png	compass	compass experiment artifact
helix_usage_validated/gemma2b_compass_causal_polar.png	compass	compass experiment artifact
helix_usage_validated/gemma2b_compass_linguistic_output.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_compass_numbers_output.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_cyclicity.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_decode_heads.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_permutation.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_principal_angles.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_random_plane.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_scan_planes.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_self_test.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_semantic_ablate.txt	compass	compass experiment artifact
helix_usage_validated/gemma2b_sweep_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gemma2b_trace_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gemma7b_sweep_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gemma7b_trace_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gemma_incontext.txt	compass	compass experiment artifact
helix_usage_validated/gemma_incontext_curves.png	compass	compass experiment artifact
helix_usage_validated/gemma_incontext_linearity.png	compass	compass experiment artifact
helix_usage_validated/gemma_incontext_polar.png	compass	compass experiment artifact
helix_usage_validated/gemma_scan_gender_heatmap.png	compass	compass experiment artifact
helix_usage_validated/gemma_scan_gender_nullfullov_heatmap.png	compass	compass experiment artifact
helix_usage_validated/gemma_scan_gender_nullfullov_scan.txt	compass	compass experiment artifact
helix_usage_validated/gemma_scan_gender_scan.txt	compass	compass experiment artifact
helix_usage_validated/gemma_steer.txt	compass	compass experiment artifact
helix_usage_validated/gemma_steer_a30.txt	compass	compass experiment artifact
helix_usage_validated/gemma_steer_a50.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_ablation_output.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_causal_patch.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_compass_causal.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_compass_causal_curves.png	compass	compass experiment artifact
helix_usage_validated/gpt2_compass_causal_linearity.png	compass	compass experiment artifact
helix_usage_validated/gpt2_compass_causal_polar.png	compass	compass experiment artifact
helix_usage_validated/gpt2_compass_decode.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_compass_sweep.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_cyclicity.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_decode_heads.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_fixed_v1.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_fixed_v1_curves.png	compass	compass experiment artifact
helix_usage_validated/gpt2_fixed_v1_linearity.png	compass	compass experiment artifact
helix_usage_validated/gpt2_fixed_v1_polar.png	compass	compass experiment artifact
helix_usage_validated/gpt2_gp_patch.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_permutation.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_principal_angles.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_random_plane.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_ref_check.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_ref_check_curves.png	compass	compass experiment artifact
helix_usage_validated/gpt2_ref_check_linearity.png	compass	compass experiment artifact
helix_usage_validated/gpt2_ref_check_polar.png	compass	compass experiment artifact
helix_usage_validated/gpt2_rotation_test.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_rotation_test_sv1sv3.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_scan_calib_heatmap.png	compass	compass experiment artifact
helix_usage_validated/gpt2_scan_calib_scan.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_scan_gender_heatmap.png	compass	compass experiment artifact
helix_usage_validated/gpt2_scan_gender_nullfullov_heatmap.png	compass	compass experiment artifact
helix_usage_validated/gpt2_scan_gender_nullfullov_scan.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_scan_gender_scan.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_scan_planes.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_self_test.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_semantic_ablate.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_steer.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_steer_a20.txt	compass	compass experiment artifact
helix_usage_validated/gpt2_sweep_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gpt2_trace_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gpt2medium_sweep_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gpt2medium_trace_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gptj6b_compass_output.txt	compass	compass experiment artifact
helix_usage_validated/gptj6b_sweep_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/gptneo125m_sweep_output.txt	both	cross-model helix scan output (shared scanner)
helix_usage_validated/head_ablation_gemma.txt	compass	compass experiment artifact
helix_usage_validated/head_ablation_gpt2.txt	compass	compass experiment artifact
helix_usage_validated/head_ablation_gpt2_l10h9.txt	compass	compass experiment artifact
helix_usage_validated/head_ablation_llama.txt	compass	compass experiment artifact
helix_usage_validated/head_ablation_phi3.txt	compass	compass experiment artifact
helix_usage_validated/head_ablation_phi3_l28h1.txt	compass	compass experiment artifact
helix_usage_validated/head_domain_heatmap_gemma.png	compass	compass experiment artifact
helix_usage_validated/head_domain_heatmap_gpt2.png	compass	compass experiment artifact
helix_usage_validated/head_domain_heatmap_llama.png	compass	compass experiment artifact
helix_usage_validated/head_domain_heatmap_phi3.png	compass	compass experiment artifact
helix_usage_validated/head_domain_routing.md	compass	compass experiment artifact
helix_usage_validated/inlp_gemma_gender_L21.json	compass	compass experiment artifact
helix_usage_validated/inlp_gemma_race_L21.json	compass	compass experiment artifact
helix_usage_validated/inlp_gpt2_gender_L10.json	compass	compass experiment artifact
helix_usage_validated/inlp_gpt2_race_L10.json	compass	compass experiment artifact
helix_usage_validated/inlp_llama_gender_L22.json	compass	compass experiment artifact
helix_usage_validated/inlp_llama_race_L22.json	compass	compass experiment artifact
helix_usage_validated/inlp_phi3_gender_L24.json	compass	compass experiment artifact
helix_usage_validated/inlp_phi3_race_L24.json	compass	compass experiment artifact
helix_usage_validated/l10h9_sv12_number.txt	compass	compass experiment artifact
helix_usage_validated/l10h9_sv12_number_curves.png	compass	compass experiment artifact
helix_usage_validated/l10h9_sv12_number_linearity.png	compass	compass experiment artifact
helix_usage_validated/l10h9_sv12_number_polar.png	compass	compass experiment artifact
helix_usage_validated/l10h9_tests.txt	compass	compass experiment artifact
helix_usage_validated/l10h9_workshop_suite.txt	compass	compass experiment artifact
helix_usage_validated/llama32_3b_compass_causal.txt	compass	compass experiment artifact
helix_usage_validated/llama32_3b_compass_causal_curves.png	compass	compass experiment artifact
helix_usage_validated/llama32_3b_compass_causal_linearity.png	compass	compass experiment artifact
helix_usage_validated/llama32_3b_compass_causal_polar.png	compass	compass experiment artifact
helix_usage_validated/llama32_3b_scan_gender_heatmap.png	compass	compass experiment artifact
helix_usage_validated/llama32_3b_scan_gender_scan.txt	compass	compass experiment artifact
helix_usage_validated/llama32_3b_top_head.json	compass	compass experiment artifact
helix_usage_validated/llama_sanity_heatmap.png	compass	compass experiment artifact
helix_usage_validated/llama_sanity_scan.txt	compass	compass experiment artifact
helix_usage_validated/llama_scan_gender_heatmap.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L10H2_d1d7_mlp10.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L10H2_d1d7_mlp11.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L14H2_d3d8_mlp14.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L14H2_d3d8_mlp15.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L19H12_d3d5_mlp19.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L19H12_d3d5_mlp20.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L1H17_d3d9_mlp1.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L1H17_d3d9_mlp2.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L24H28_d0d9_mlp24.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L24H28_d0d9_mlp25.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L2H2_d4d7_mlp2.png	compass	compass experiment artifact
helix_usage_validated/mlp_lens_L2H2_d4d7_mlp3.png	compass	compass experiment artifact
